Role,City,Count,latitude,longitude
Mechanical Engineer,Reed City,1,43.87502,-85.51005
Mechanical Engineer,Columbia,1,34.040813,-81.095436
Mechanical Engineer,Crestview,1,30.76213,-86.57051
Mechanical Engineer,Virginia Beach,1,36.85293,-75.97798
Mechanical Engineer,Greenfield,1,39.818893,-85.76707
Mechanical Engineer,La Palma,1,33.860714,-118.03396
Mechanical Engineer,Concord,1,42.46037,-71.34895
Mechanical Engineer,Lynchburg,1,37.41375,-79.14225
Mechanical Engineer,Beaverton,1,45.458294,-122.796745
Mechanical Engineer,Londonderry,1,42.86509,-71.37395
Mechanical Engineer,Roebuck,1,34.88483,-81.958595
Mechanical Engineer,Oxnard,1,34.201466,-119.14889
Mechanical Engineer,Bullhead City,1,35.073776,-114.5544
Mechanical Engineer,Reserve,1,30.069967,-90.55718
Mechanical Engineer,Birmingham,1,33.518326,-86.80806
Mechanical Engineer,Fort Washington,1,40.14178,-75.20906
Mechanical Engineer,Albuquerque,1,35.08722,-106.65248
Mechanical Engineer,Philadelphia,1,39.956474,-75.16025
Mechanical Engineer,Grand Prairie,1,32.71545,-96.99682
Mechanical Engineer,Mountain View,1,37.41524,-122.07459
Mechanical Engineer,Oxford,1,42.08631,-71.86478
Mechanical Engineer,Waltham,1,42.37649,-71.23561
Mechanical Engineer,Madison,1,43.07305,-89.40123
Mechanical Engineer,Vista,1,33.192078,-117.236145
Mechanical Engineer,Taylor,1,42.234325,-83.26931
Mechanical Engineer,Bellows Falls,1,43.171345,-72.45524
Mechanical Engineer,Lenexa,1,38.95362,-94.73357
Mechanical Engineer,Elmendorf AFB,1,61.24,-149.85
Mechanical Engineer,Hawthorne,1,41.09146,-73.81765
Mechanical Engineer,McKinney,1,33.214245,-96.64984
Mechanical Engineer,Eldridge,1,41.65809,-90.58458
Mechanical Engineer,Hampton,1,37.02987,-76.34522
Mechanical Engineer,Ennis,1,32.32931,-96.62527
Mechanical Engineer,Leesport,1,40.389263,-75.986595
Mechanical Engineer,Cleveland,1,41.4995,-81.69541
Mechanical Engineer,Holly,1,42.79197,-83.62773
Mechanical Engineer,Sioux Falls,1,43.497948,-96.7881
Mechanical Engineer,Irving,1,32.88446,-96.96734
Mechanical Engineer,Richland,1,32.2377,-90.1548
Mechanical Engineer,Thousand Oaks,1,34.21958,-118.82174
Mechanical Engineer,Albany,1,42.65258,-73.75623
Mechanical Engineer,Rosslyn,1,38.89678,-77.07248
Mechanical Engineer,Marathon,1,42.44174,-76.03215
Mechanical Engineer,Bucyrus,1,40.80839,-82.97546
Mechanical Engineer,Newtown,1,40.23021,-74.91225
Mechanical Engineer,Hudson,1,42.703842,-71.42823
Mechanical Engineer,Vancouver,1,45.63873,-122.66149
Mechanical Engineer,Canton,1,35.53003,-82.83942
Mechanical Engineer,Monroe,1,35.055466,-80.619644
Mechanical Engineer,Rockledge,1,28.291796,-80.7029
Mechanical Engineer,Davis,1,38.54426,-121.726585
Mechanical Engineer,Milwaukee,1,43.0389,-87.90647
Mechanical Engineer,Wilmington,1,39.74595,-75.54659
Mechanical Engineer,Frederick,1,39.42289,-77.415215
Mechanical Engineer,Triadelphia,1,40.07181,-80.560425
Mechanical Engineer,Warren,1,41.74812,-71.271576
Mechanical Engineer,Palmdale,1,34.57943,-118.11646
Mechanical Engineer,Beaumont,1,30.085306,-94.097305
Mechanical Engineer,Kalamazoo,1,42.273647,-85.68856
Mechanical Engineer,Kenosha,1,42.58382,-87.81926
Mechanical Engineer,Grand Rapids,1,43.014225,-85.68144
Mechanical Engineer,Splendora,1,30.220285,-95.158356
Mechanical Engineer,Franklin,1,39.55895,-84.30411
Mechanical Engineer,Union City,1,36.41281,-89.054436
Mechanical Engineer,Rapid City,1,44.08054,-103.23101
Mechanical Engineer,Cedar Rapids,1,42.00833,-91.64407
Mechanical Engineer,Saint Paul,1,44.932636,-93.07715
Mechanical Engineer,Sussex,1,43.1339,-88.22204
Mechanical Engineer,Armstrong,1,43.392776,-94.48761
Mechanical Engineer,El Paso,1,31.781563,-106.4032
Mechanical Engineer,Pasadena,1,29.69106,-95.2091
Mechanical Engineer,Oklahoma City,1,35.46756,-97.51643
Mechanical Engineer,Euclid,1,41.5931,-81.52679
Mechanical Engineer,Lincoln,1,40.8,-96.66696
Mechanical Engineer,Beatrice,1,40.26806,-96.74697
Mechanical Engineer,Baltimore,1,39.28068,-76.53798
Mechanical Engineer,Tecumseh,1,41.96841,-83.96769
Mechanical Engineer,Ann Arbor,1,42.213936,-83.74499
Mechanical Engineer,Tempe,1,33.417465,-111.96884
Mechanical Engineer,Brooklyn Park,1,45.09413,-93.35634
Mechanical Engineer,Yucaipa,1,34.023445,-117.10624
Mechanical Engineer,Crystal City,1,38.8565,-77.0512
Mechanical Engineer,Council Bluffs,1,41.222546,-95.85842
Mechanical Engineer,Hutto,1,30.5427,-97.54667
Mechanical Engineer,Gardena,1,33.88835,-118.30896
Mechanical Engineer,Baytown,1,29.7712,-94.8884
Mechanical Engineer,Richardson,1,32.98607,-96.70703
Mechanical Engineer,Clayton,1,38.648857,-90.33683
Mechanical Engineer,Middlebury,1,41.52787,-73.12761
Manufacturing,Seattle,6,47.60621,-122.33207
Manufacturing,Cincinnati,5,39.162,-84.45689
Manufacturing,Durham,4,35.99403,-78.89862
Manufacturing,Huntsville,3,34.73037,-86.5861
Manufacturing,Denver,3,39.73915,-104.9847
Manufacturing,San Jose,3,37.33939,-121.89496
Manufacturing,Houston,3,29.76328,-95.36327
Manufacturing,San Diego,3,32.71533,-117.15726
Manufacturing,Albuquerque,2,35.08449,-106.65114
Manufacturing,Richmond,2,37.55376,-77.46026
Manufacturing,Oklahoma City,2,35.469437,-97.521286
Manufacturing,Warren,2,42.465546,-82.99398
Manufacturing,Alameda,2,37.76521,-122.24164
Manufacturing,Neenah,2,44.192535,-88.47999
Manufacturing,Santa Rosa,2,38.479576,-122.75055
Manufacturing,Jackson,2,35.61452,-88.81395
Manufacturing,Charlotte,2,35.22709,-80.84313
Manufacturing,Gilbert,2,33.35283,-111.78903
Manufacturing,San Fernando,2,34.28195,-118.43897
Manufacturing,Pleasanton,2,37.69223,-121.90807
Manufacturing,Green Bay,2,44.511127,-88.02476
Manufacturing,Concord,2,35.40875,-80.57951
Manufacturing,Brownsville,1,25.90175,-97.49748
Manufacturing,Bethesda,1,38.984222,-77.0944
Manufacturing,Manitowoc,1,44.083397,-87.70179
Manufacturing,Ball Ground,1,34.33815,-84.37659
Manufacturing,Billerica,1,42.55843,-71.26895
Manufacturing,Linthicum,1,39.20511,-76.65275
Manufacturing,Waukesha,1,43.016205,-88.26786
Manufacturing,St. Louis,1,38.62727,-90.19789
Manufacturing,Oakdale,1,40.409607,-80.19708
Manufacturing,Fenton,1,38.53864,-90.46156
Manufacturing,Washington Court House,1,39.53645,-83.43908
Manufacturing,Ridgefield,1,40.83427,-74.00875
Manufacturing,Perrysburg,1,41.557,-83.62716
Manufacturing,Fairfield,1,39.352177,-84.54084
Manufacturing,Buffalo,1,42.88645,-78.87837
Manufacturing,Malibu,1,34.04363,-118.69583
Manufacturing,El Paso,1,31.75872,-106.48693
Manufacturing,Virginia Beach,1,36.750526,-76.05563
Manufacturing,San Antonio,1,29.593025,-98.571
Manufacturing,Morristown,1,36.220818,-83.268845
Manufacturing,Cuyahoga Falls,1,41.160892,-81.48806
Manufacturing,Boulder,1,40.021122,-105.241974
Manufacturing,Meadville,1,41.627205,-80.15483
Manufacturing,Parsippany,1,40.85788,-74.42599
Manufacturing,Amherst,1,42.802876,-71.57115
Manufacturing,Baldwinsville,1,43.170135,-76.31177
Manufacturing,Springfield,1,37.210293,-93.22814
Manufacturing,Cedar Rapids,1,42.00833,-91.64407
Manufacturing,Fort Lauderdale,1,26.154427,-80.16953
Manufacturing,Peoria,1,40.702824,-89.59288
Manufacturing,Binghamton,1,42.09869,-75.91797
Manufacturing,Carson,1,33.81798,-118.22328
Manufacturing,Ventura,1,34.29357,-119.159065
Manufacturing,Mills,1,42.86641,-106.410164
Manufacturing,Cranbury,1,40.32929,-74.50484
Manufacturing,Stratford,1,41.185036,-73.14015
Manufacturing,Naples,1,39.82966,-90.55945
Manufacturing,Princeton,1,40.34872,-74.65905
Manufacturing,Williamsport,1,41.24119,-77.00108
Manufacturing,Dayton,1,39.75895,-84.19161
Manufacturing,Mount Sterling,1,38.098118,-83.90685
Manufacturing,Maple Grove,1,45.07246,-93.45579
Manufacturing,Myrtle Beach,1,33.68906,-78.88669
Manufacturing,Omaha,1,41.271023,-95.96264
Manufacturing,Cary,1,35.79154,-78.78112
Manufacturing,Chandler,1,33.30616,-111.84125
Manufacturing,Lewisville,1,33.045662,-96.986786
Manufacturing,South San Francisco,1,37.652367,-122.43054
Manufacturing,Bradenton,1,27.497568,-82.56207
Manufacturing,Hartford,1,41.76272,-72.6804
Manufacturing,Livermore,1,37.695683,-121.80089
Manufacturing,Fort Worth,1,32.736935,-97.341446
Manufacturing,Watervliet,1,42.726112,-73.713356
Manufacturing,Itasca,1,41.971,-87.99538
Manufacturing,Greenville,1,34.85262,-82.39401
Manufacturing,Rome,1,34.25704,-85.16467
Manufacturing,Camden,1,39.942417,-75.10913
Manufacturing,Hillsboro,1,45.535156,-122.95626
Manufacturing,Newark,1,37.52966,-122.04024
Manufacturing,North Charleston,1,32.88856,-80.00751
Manufacturing,Blue Lake,1,40.906635,-123.93846
Manufacturing,Eugene,1,44.09164,-123.06056
Manufacturing,Round Rock,1,30.50826,-97.6789
Manufacturing,Kent,1,47.43277,-122.23578
Manufacturing,Devens,1,42.560947,-71.57662
Manufacturing,Allentown,1,40.60843,-75.49018
Manufacturing,Chicago,1,41.85003,-87.65005
Manufacturing,Denton,1,33.21484,-97.13307
Manufacturing,Clearwater,1,27.890676,-82.72406
Manufacturing,Orange City,1,28.936531,-81.295494
Manufacturing,Charleston,1,32.77657,-79.93092
Manufacturing,Mount Airy,1,36.490646,-80.62891
Manufacturing,Rosemount,1,44.715523,-93.07311
Manufacturing,Hebron,1,39.06589,-84.70106
Manufacturing,Dallas,1,32.900936,-96.89906
Manufacturing,Arlington,1,38.88101,-77.10428
Manufacturing,Mountain View,1,37.38605,-122.08385
Manufacturing,Warsaw,1,41.2381,-85.85305
Manufacturing,Pompano Beach,1,26.233635,-80.15676
Manufacturing,Washington,1,38.89511,-77.03637
Manufacturing,Stillwater,1,45.05636,-92.80604
Manufacturing,Raeford,1,34.981,-79.2242
Manufacturing,Frisco,1,33.14832,-96.82484
Manufacturing,Fond du Lac,1,43.808086,-88.48073
Manufacturing,Rockledge,1,28.291796,-80.7029
Manufacturing,Nicholasville,1,37.88063,-84.573
Manufacturing,Mesa,1,33.401184,-111.790794
Manufacturing,Duncan,1,34.9379,-82.14511
Manufacturing,Reno,1,39.52963,-119.8138
Manufacturing,Madison,1,43.11104,-89.323746
Manufacturing,Cleveland,1,41.4995,-81.69541
Manufacturing,Nashville,1,36.155872,-86.78928
Manufacturing,Boston,1,42.35843,-71.05977
Manufacturing,Asheboro,1,35.716137,-79.80992
Manufacturing,West Valley City,1,40.69161,-112.00105
Manufacturing,Auburn,1,41.358845,-85.07623
Manufacturing,Mount Holly,1,39.99289,-74.78766
Manufacturing,Goose Creek,1,32.98101,-80.03259
Manufacturing,Salt Lake City,1,40.76078,-111.89105
Manufacturing,Irvine,1,33.68368,-117.85176
Manufacturing,Antioch,1,42.476303,-88.09055
Manufacturing,Santa Barbara,1,34.42083,-119.69819
Manufacturing,Adelanto,1,34.58277,-117.40922
Manufacturing,Burnside,1,36.98897,-84.59994
Manufacturing,Macon,1,32.84069,-83.6324
Manufacturing,Colorado Springs,1,38.83388,-104.82136
Manufacturing,Acworth,1,34.084816,-84.66682
Manufacturing,Brigham City,1,41.51021,-112.0155
Manufacturing,Lawrence,1,38.96247,-95.25452
Manufacturing,Tullahoma,1,35.354523,-86.20083
Manufacturing,Bellingham,1,42.068356,-71.47604
Manufacturing,Elgin,1,42.07006,-88.3108
Manufacturing,Schaumburg,1,42.03336,-88.08341
Manufacturing,Hammond,1,41.58337,-87.50004
Manufacturing,Glendale,1,34.14681,-118.25044
Manufacturing,Rensselaer,1,40.9632,-87.150314
Manufacturing,Trinity,1,34.60676,-87.08835
Manufacturing,Westland,1,42.3242,-83.40021
Manufacturing,Cambridge,1,42.3751,-71.10561
Manufacturing,Lafayette,1,40.322083,-86.91046
Manufacturing,Memphis,1,35.093655,-89.86025
Manufacturing,Peachtree City,1,33.393707,-84.5647
Manufacturing,Marietta,1,33.953014,-84.5215
Manufacturing,Sterling Heights,1,42.58031,-83.0302
Manufacturing,Murfreesboro,1,35.84562,-86.39027
Manufacturing,Comstock Park,1,43.0582,-85.66493
Manufacturing,Tempe,1,33.342533,-111.94675
Manufacturing,Milwaukee,1,43.0389,-87.90647
Manufacturing,Milpitas,1,37.44581,-121.91586
Manufacturing,Plymouth,1,41.95844,-70.66726
Manufacturing,Ann Arbor,1,42.27756,-83.74088
Manufacturing,Phoenix,1,33.44838,-112.07404
Manufacturing,Brooklyn Park,1,45.064713,-93.38125
Manufacturing,Rockwall,1,32.91537,-96.41452
Manufacturing,Inkster,1,42.291637,-83.290375
Manufacturing,Goodyear,1,33.489384,-112.39261
Manufacturing,Circleville,1,39.594776,-82.936455
Manufacturing,Plover,1,44.470856,-89.54634
Manufacturing,Kansas City,1,39.10035,-94.576775
Manufacturing,Catlettsburg,1,38.3488,-82.6095
Manufacturing,Bartlett,1,41.966534,-88.165436
Manufacturing,Eden Prairie,1,44.86172,-93.448105
Engineer,Houston,7,29.958036,-95.58619
Engineer,Austin,5,30.26715,-97.74306
Engineer,New York,3,40.71427,-74.00597
Engineer,Bentonville,3,36.37565,-94.209335
Engineer,Boston,3,42.35843,-71.05977
Engineer,San Diego,3,32.71533,-117.15726
Engineer,Los Angeles,3,34.05223,-118.24368
Engineer,Philadelphia,3,39.95234,-75.16379
Engineer,Plymouth,3,41.95844,-70.66726
Engineer,Auburn Hills,3,42.68753,-83.2341
Engineer,San Antonio,2,29.585,-98.6173
Engineer,Midland,2,31.989058,-102.0819
Engineer,Santa Clara,2,37.3743,-121.96589
Engineer,Albuquerque,2,35.08449,-106.65114
Engineer,Fairfax,2,38.864517,-77.23015
Engineer,Orlando,2,28.53834,-81.37924
Engineer,Lincoln,2,40.86511,-96.6685
Engineer,El Paso,2,31.77304,-106.478065
Engineer,Milwaukee,2,43.0389,-87.90647
Engineer,Fremont,2,37.515476,-121.97856
Engineer,Annapolis Junction,2,39.12287,-76.78757
Engineer,Albany,2,44.58397,-123.118095
Engineer,Denver,2,39.73915,-104.9847
Engineer,Boulder,2,40.01499,-105.27055
Engineer,San Mateo,1,37.56299,-122.32553
Engineer,Londonderry,1,42.93073,-71.42743
Engineer,Dearborn,1,42.294678,-83.25057
Engineer,Elkhart,1,41.694412,-85.99924
Engineer,Camarillo,1,34.22775,-119.0121
Engineer,San Jose,1,37.33939,-121.89496
Engineer,Troy,1,42.59522,-83.12012
Engineer,Del Rio,1,29.36273,-100.89676
Engineer,Saint Petersburg,1,27.887138,-82.662964
Engineer,Pomona,1,34.076187,-117.7494
Engineer,Tinton Falls,1,40.30428,-74.10042
Engineer,Charlottesville,1,38.029724,-78.47871
Engineer,Brooklyn,1,40.6501,-73.94958
Engineer,Cambridge,1,42.35816,-71.10634
Engineer,Greenbelt,1,39.00455,-76.87553
Engineer,Pinellas Park,1,27.855701,-82.70623
Engineer,Malibu,1,34.04363,-118.69583
Engineer,Alachua,1,29.782238,-82.47332
Engineer,Fort Lauderdale,1,26.154427,-80.16953
Engineer,Branson,1,36.64367,-93.21851
Engineer,Bedford,1,42.493393,-71.278534
Engineer,Bellevue,1,47.610577,-122.17873
Engineer,Fairfield,1,38.236366,-122.091896
Engineer,Loveland,1,39.26704,-84.29212
Engineer,New Johnsonville,1,36.02117,-87.96698
Engineer,Bolton Landing,1,43.55729,-73.65484
Engineer,Lake Forest,1,33.64697,-117.68922
Engineer,Bridgeton,1,39.428997,-75.1936
Engineer,Fort Worth,1,32.72541,-97.32085
Engineer,Lombard,1,41.869896,-88.011734
Engineer,Livermore,1,37.68187,-121.76801
Engineer,Windsor Locks,1,41.92926,-72.62731
Engineer,Industry,1,34.01973,-117.95868
Engineer,East Chicago,1,41.66769,-87.468025
Engineer,Carson,1,33.81798,-118.22328
Engineer,Brookshire,1,29.791973,-95.94655
Engineer,San Leandro,1,37.72493,-122.15608
Engineer,Redwood City,1,37.48522,-122.23635
Engineer,Reston,1,38.96872,-77.3411
Engineer,Nashville,1,36.177223,-86.80682
Engineer,Tempe,1,33.43175,-111.93813
Engineer,South San Francisco,1,37.65466,-122.40775
Engineer,Metairie,1,30.013645,-90.154465
Engineer,Dickinson,1,46.87918,-102.78962
Engineer,Perryville,1,37.71948,-89.81016
Engineer,Niagara Falls,1,43.10004,-79.002205
Engineer,El Segundo,1,33.903275,-118.385826
Engineer,Whitestown,1,39.99726,-86.34583
Engineer,Athens,1,39.327553,-82.100624
Engineer,Newark,1,40.73566,-74.17237
Engineer,Menlo Park,1,37.45383,-122.18219
Engineer,Meridian,1,43.59921,-116.38814
Engineer,Novi,1,42.445515,-83.43464
Engineer,Elk Rapids,1,44.904648,-85.39951
Engineer,Moorestown,1,39.96706,-74.94267
Engineer,Farmers Branch,1,32.93949,-96.83873
Engineer,Fredericksburg,1,38.30318,-77.46054
Engineer,Crystal City,1,38.229874,-90.3734
Engineer,Highlands Ranch,1,39.54432,-104.92023
Engineer,Bethesda,1,38.984222,-77.0944
Engineer,Luxemburg,1,44.545784,-87.71571
Engineer,Santa Cruz,1,37.02389,-122.133125
Engineer,Tampa,1,27.965628,-82.510544
Engineer,Dallas,1,32.768692,-96.88211
Engineer,Arlington,1,38.88101,-77.10428
Engineer,Mountain View,1,37.40555,-122.07848
Engineer,San Carlos,1,37.50716,-122.26052
Engineer,Washington,1,38.89511,-77.03637
Engineer,Las Cruces,1,32.31232,-106.77834
Engineer,Lenexa,1,38.95362,-94.73357
Engineer,Fort Meade,1,39.10815,-76.74323
Engineer,Powell,1,36.022053,-84.03261
Engineer,Kenosha,1,42.54164,-87.82444
Engineer,Clearwater,1,27.890676,-82.72406
Engineer,Stockton,1,37.91773,-121.262146
Engineer,Long Beach,1,33.76526,-118.201675
Engineer,San Francisco,1,37.782593,-122.409515
Engineer,Clintonville,1,44.624077,-88.75563
Engineer,Fort Myers,1,26.645685,-81.86802
Engineer,Saint Paul,1,44.7311,-93.2126
Engineer,Alpharetta,1,34.07538,-84.29409
Engineer,Lafayette,1,40.322083,-86.91046
Engineer,Cynthiana,1,38.39035,-84.2941
Engineer,Phoenix,1,33.44886,-111.98826
Engineer,Irving,1,32.81402,-96.94889
Engineer,Cazenovia,1,42.922035,-75.81567
Engineer,West Palm Beach,1,26.71534,-80.05337
Engineer,San Fernando,1,34.28195,-118.43897
Engineer,Fort Washington,1,40.142048,-75.17396
Engineer,Las Vegas,1,36.084156,-115.09929
Engineer,San Juan,1,18.46633,-66.10572
Engineer,Woburn,1,42.47926,-71.15228
Engineer,Ellicott City,1,39.276466,-76.81404
Engineer,Wilton,1,41.19537,-73.4379
Engineer,Fort Belvoir,1,38.712147,-77.158615
Engineer,Old Hickory,1,36.25978,-86.64777
Engineer,Portland,1,45.52345,-122.67621
Engineer,Lexington Park,1,38.24761,-76.450836
