Skill,Jun 2019,Jul 2019,Aug 2019,Sep 2019,Oct 2019,Nov 2019,Dec 2019
angularjs,7.8125,8.823529412,9.174311927,5.172413793,5.583756345,4.826254826,10.31746032
android,10.9375,4.411764706,10.09174312,9.195402299,9.137055838,7.528957529,10.31746032
c++,9.375,5.882352941,9.174311927,10.34482759,3.045685279,8.687258687,9.523809524
target,0,4.411764706,2.752293578,2.298850575,2.030456853,3.474903475,9.523809524
targets,0,4.411764706,2.752293578,2.298850575,2.030456853,3.474903475,9.523809524
sass,7.8125,8.823529412,3.669724771,5.172413793,6.091370558,4.633204633,9.523809524
scalability,21.875,4.411764706,8.256880734,9.195402299,9.644670051,9.266409266,9.523809524
maven,1.5625,0,0.9174311927,3.448275862,6.598984772,4.054054054,9.523809524
java ee,1.5625,2.941176471,1.834862385,3.448275862,5.076142132,3.474903475,9.523809524
ui,15.625,13.23529412,9.174311927,5.747126437,12.18274112,7.528957529,9.523809524
docker,3.125,13.23529412,5.504587156,6.32183908,4.060913706,6.756756757,8.73015873
digital,14.0625,14.70588235,10.09174312,10.91954023,11.16751269,6.370656371,8.73015873
visual studio,1.5625,4.411764706,6.422018349,4.022988506,3.553299492,4.44015444,8.73015873
research,7.8125,17.64705882,16.51376147,19.54022989,13.19796954,11.1969112,8.73015873
hibernate,6.25,2.941176471,5.504587156,4.022988506,6.091370558,4.633204633,8.73015873
mentor,10.9375,16.17647059,10.09174312,6.896551724,9.644670051,10.03861004,8.73015873
creative,7.8125,17.64705882,15.59633028,13.79310345,7.614213198,9.652509653,8.73015873
relationships,3.125,13.23529412,9.174311927,13.79310345,7.106598985,7.142857143,7.936507937
relationship,3.125,13.23529412,9.174311927,13.79310345,7.106598985,7.142857143,7.936507937
rdbms,4.6875,2.941176471,0,1.724137931,0.5076142132,2.316602317,7.936507937
flow,15.625,8.823529412,11.9266055,8.620689655,7.106598985,10.23166023,7.936507937
oracle,9.375,7.352941176,8.256880734,8.045977011,8.121827411,10.42471042,7.936507937
road,12.5,14.70588235,10.09174312,7.471264368,6.598984772,6.756756757,7.936507937
growth,10.9375,14.70588235,9.174311927,12.06896552,9.137055838,7.915057915,7.936507937
pressure,4.6875,8.823529412,10.09174312,4.022988506,8.629441624,9.073359073,7.936507937
devops,7.8125,7.352941176,9.174311927,8.045977011,8.121827411,7.142857143,7.936507937
http,4.6875,1.470588235,5.504587156,4.597701149,4.568527919,6.370656371,7.936507937
pact,10.9375,11.76470588,11.9266055,8.045977011,9.137055838,6.563706564,7.936507937
timiza,6.25,2.941176471,5.504587156,5.172413793,6.598984772,3.088803089,7.936507937
postgres,7.8125,7.352941176,8.256880734,4.022988506,4.060913706,7.142857143,7.142857143
iteration,14.0625,17.64705882,12.8440367,11.49425287,9.644670051,9.459459459,7.142857143
infrastructure,12.5,16.17647059,8.256880734,9.195402299,7.614213198,11.1969112,7.142857143
database design,3.125,2.941176471,6.422018349,2.873563218,4.568527919,4.247104247,7.142857143
concept,23.4375,14.70588235,17.43119266,14.94252874,16.75126904,14.09266409,7.142857143
version control,14.0625,5.882352941,10.09174312,8.620689655,4.060913706,8.494208494,7.142857143
software design,10.9375,0,2.752293578,4.022988506,5.583756345,4.633204633,7.142857143
wcf,1.5625,4.411764706,5.504587156,4.597701149,5.076142132,4.826254826,7.142857143
reliability,10.9375,8.823529412,11.00917431,9.195402299,7.106598985,5.791505792,7.142857143
ux,17.1875,10.29411765,8.256880734,3.448275862,7.614213198,6.563706564,7.142857143
ms sql,6.25,5.882352941,10.09174312,6.32183908,6.598984772,6.370656371,6.349206349
vue,7.8125,2.941176471,2.752293578,4.597701149,1.52284264,4.054054054,6.349206349
ajax,1.5625,1.470588235,4.587155963,2.298850575,6.091370558,5.598455598,6.349206349
agile methodologies,6.25,4.411764706,7.339449541,1.724137931,3.553299492,3.474903475,6.349206349
ios,9.375,5.882352941,8.256880734,5.747126437,4.568527919,5.791505792,6.349206349
project management,4.6875,8.823529412,7.339449541,10.91954023,9.644670051,8.108108108,6.349206349
mongo,12.5,8.823529412,5.504587156,2.298850575,9.137055838,7.335907336,6.349206349
mongodb,10.9375,7.352941176,5.504587156,2.298850575,7.106598985,6.177606178,6.349206349
machining,3.125,2.941176471,4.587155963,4.022988506,5.076142132,2.702702703,6.349206349
automated testing,7.8125,0,1.834862385,2.873563218,3.045685279,3.861003861,6.349206349
mobile development,6.25,1.470588235,9.174311927,5.747126437,6.598984772,5.212355212,6.349206349
automated tests,7.8125,0,1.834862385,2.873563218,3.045685279,3.861003861,6.349206349
hardware,1.5625,5.882352941,6.422018349,8.620689655,1.52284264,3.667953668,6.349206349
branch,3.125,1.470588235,2.752293578,2.873563218,1.015228426,1.544401544,6.349206349
engagement,3.125,17.64705882,8.256880734,8.620689655,6.091370558,7.528957529,6.349206349
rest api,0,1.470588235,4.587155963,2.298850575,3.045685279,3.861003861,6.349206349
jenkins,3.125,4.411764706,2.752293578,4.597701149,4.060913706,4.633204633,6.349206349
relational databases,9.375,4.411764706,11.00917431,7.471264368,6.598984772,4.054054054,6.349206349
relational database,9.375,4.411764706,11.00917431,7.471264368,6.598984772,4.054054054,6.349206349
data warehouse,0,1.470588235,1.834862385,1.724137931,2.030456853,2.316602317,6.349206349
full stack,10.9375,8.823529412,4.587155963,8.620689655,6.598984772,10.23166023,6.349206349
web development,15.625,10.29411765,10.09174312,10.34482759,16.75126904,11.58301158,6.349206349
backend,15.625,5.882352941,5.504587156,4.597701149,5.076142132,6.177606178,5.555555556
math,1.5625,5.882352941,10.09174312,4.022988506,4.060913706,4.826254826,5.555555556
mathematics,1.5625,5.882352941,9.174311927,3.448275862,3.045685279,3.281853282,5.555555556
lifecycle,14.0625,8.823529412,11.00917431,7.471264368,10.15228426,7.722007722,5.555555556
continuous integration,7.8125,2.941176471,3.669724771,3.448275862,6.598984772,7.335907336,5.555555556
workflows,4.6875,2.941176471,3.669724771,4.597701149,2.030456853,4.826254826,5.555555556
python,18.75,13.23529412,11.9266055,16.66666667,10.65989848,11.96911197,5.555555556
express,6.25,5.882352941,5.504587156,4.022988506,1.015228426,1.930501931,4.761904762
typescript,3.125,7.352941176,5.504587156,5.172413793,3.553299492,3.861003861,4.761904762
software engineering,26.5625,20.58823529,12.8440367,14.94252874,8.629441624,13.51351351,4.761904762
uml,0,1.470588235,1.834862385,2.298850575,1.52284264,1.737451737,4.761904762
distributed,14.0625,8.823529412,8.256880734,5.747126437,3.553299492,4.826254826,4.761904762
jira,0,2.941176471,1.834862385,5.172413793,5.076142132,5.598455598,4.761904762
data structures,3.125,5.882352941,2.752293578,2.298850575,1.52284264,2.316602317,4.761904762
nodejs,4.6875,4.411764706,0.9174311927,1.724137931,4.060913706,4.826254826,4.761904762
emerging,7.8125,4.411764706,9.174311927,3.448275862,5.076142132,3.474903475,4.761904762
transformer,4.6875,5.882352941,6.422018349,4.022988506,5.583756345,4.44015444,4.761904762
objective c,3.125,1.470588235,4.587155963,0,2.030456853,2.895752896,4.761904762
oop,1.5625,5.882352941,5.504587156,4.022988506,6.091370558,4.633204633,4.761904762
apache,3.125,2.941176471,4.587155963,1.724137931,4.060913706,4.826254826,4.761904762
project planning,6.25,1.470588235,2.752293578,1.724137931,2.538071066,1.351351351,4.761904762
ssrs,1.5625,4.411764706,0.9174311927,2.873563218,1.52284264,1.158301158,4.761904762
prototype,12.5,7.352941176,8.256880734,3.448275862,4.568527919,3.474903475,4.761904762
apache ant,3.125,2.941176471,4.587155963,1.724137931,4.060913706,4.826254826,4.761904762
azure,3.125,8.823529412,5.504587156,9.195402299,6.091370558,4.633204633,4.761904762
containers,7.8125,7.352941176,6.422018349,5.747126437,4.060913706,4.826254826,4.761904762
country,1.5625,7.352941176,4.587155963,8.045977011,3.045685279,5.212355212,4.761904762
payment,1.5625,8.823529412,3.669724771,3.448275862,5.583756345,4.054054054,4.761904762
prototypes,12.5,7.352941176,8.256880734,3.448275862,4.568527919,3.474903475,4.761904762
scaling,14.0625,29.41176471,3.669724771,4.597701149,8.121827411,7.335907336,4.761904762
business intelligence,1.5625,0,0.9174311927,3.448275862,3.045685279,1.737451737,4.761904762
svn,0,2.941176471,4.587155963,4.597701149,3.553299492,2.895752896,3.968253968
kanban,3.125,2.941176471,1.834862385,0,1.52284264,1.737451737,3.968253968
banking,0,10.29411765,6.422018349,5.172413793,4.060913706,5.598455598,3.968253968
microservice,1.5625,1.470588235,1.834862385,2.298850575,3.553299492,2.316602317,3.968253968
microservices,1.5625,1.470588235,1.834862385,2.298850575,3.553299492,2.316602317,3.968253968
dependency injection,0,0,0.9174311927,0,0,0,3.968253968
kubernetes,3.125,7.352941176,0.9174311927,2.298850575,1.52284264,5.019305019,3.968253968
reactjs,3.125,4.411764706,0,1.724137931,3.045685279,1.158301158,3.968253968
readiness,3.125,0,8.256880734,3.448275862,4.568527919,2.895752896,3.968253968
database management,0,0,2.752293578,1.149425287,2.030456853,1.544401544,3.968253968
etl,0,0,0,2.873563218,1.52284264,1.351351351,3.968253968
gitlab,3.125,7.352941176,2.752293578,1.724137931,1.52284264,2.316602317,3.968253968
containerization,4.6875,7.352941176,5.504587156,4.022988506,2.538071066,4.054054054,3.968253968
postgresql,4.6875,4.411764706,4.587155963,2.298850575,3.553299492,4.633204633,3.968253968
rust,1.5625,7.352941176,4.587155963,4.022988506,4.568527919,5.984555985,3.968253968
credit,3.125,5.882352941,5.504587156,1.724137931,1.52284264,2.702702703,3.968253968
iis,0,0,2.752293578,0.5747126437,3.045685279,0.7722007722,3.968253968
object oriented programming,9.375,2.941176471,3.669724771,5.747126437,6.091370558,3.861003861,3.968253968
outlook,0,0,0.9174311927,1.149425287,1.015228426,0.9652509653,3.968253968
open source,7.8125,5.882352941,6.422018349,7.471264368,5.076142132,4.054054054,3.968253968
j2ee,1.5625,2.941176471,2.752293578,0.5747126437,4.568527919,2.123552124,3.968253968
video,3.125,1.470588235,2.752293578,0.5747126437,0,1.158301158,3.174603175
energy,0,1.470588235,0.9174311927,1.724137931,1.52284264,1.158301158,3.174603175
user interface,9.375,8.823529412,9.174311927,1.724137931,5.583756345,2.50965251,3.174603175
user experience,7.8125,5.882352941,4.587155963,4.597701149,6.091370558,5.019305019,3.174603175
line sizing,1.5625,5.882352941,2.752293578,1.724137931,3.045685279,4.054054054,3.174603175
es6,4.6875,0,0.9174311927,0.5747126437,1.015228426,1.158301158,3.174603175
experience design,6.25,1.470588235,6.422018349,4.597701149,6.091370558,4.247104247,3.174603175
word,7.8125,4.411764706,12.8440367,10.91954023,5.076142132,5.791505792,3.174603175
tdd,4.6875,7.352941176,1.834862385,4.022988506,2.538071066,3.474903475,3.174603175
go,1.5625,5.882352941,3.669724771,0.5747126437,5.076142132,3.667953668,3.174603175
user experence,7.8125,5.882352941,4.587155963,4.597701149,6.091370558,5.019305019,3.174603175
system design,0,1.470588235,3.669724771,0.5747126437,1.015228426,1.930501931,3.174603175
xhtml,1.5625,0,0.9174311927,1.149425287,2.030456853,0.9652509653,3.174603175
synchronization,6.25,1.470588235,1.834862385,0.5747126437,0,0.3861003861,3.174603175
venue,0,2.941176471,2.752293578,0.5747126437,3.045685279,1.737451737,3.174603175
forecasting,0,1.470588235,0,0,1.015228426,0,3.174603175
server side,10.9375,7.352941176,5.504587156,2.873563218,4.568527919,3.667953668,3.174603175
spring framework,4.6875,0,1.834862385,1.149425287,2.538071066,1.158301158,3.174603175
rspec,0,1.470588235,0,3.448275862,2.030456853,0.9652509653,3.174603175
scale,14.0625,23.52941176,3.669724771,2.873563218,6.598984772,6.370656371,3.174603175
selenium,1.5625,1.470588235,0,0,1.52284264,1.351351351,3.174603175
subversion,0,0,0,1.149425287,0.5076142132,1.158301158,3.174603175
sharepoint,1.5625,1.470588235,0.9174311927,1.149425287,2.030456853,1.158301158,3.174603175
product requirements,0,0,0,1.149425287,0.5076142132,0.1930501931,3.174603175
soa,3.125,2.941176471,8.256880734,2.873563218,2.030456853,2.316602317,3.174603175
data analysis,0,2.941176471,4.587155963,1.149425287,2.030456853,1.544401544,3.174603175
roadmap,6.25,7.352941176,2.752293578,1.724137931,1.52284264,0.9652509653,3.174603175
nosql,9.375,5.882352941,7.339449541,1.724137931,3.045685279,3.474903475,3.174603175
revenue,0,2.941176471,1.834862385,0.5747126437,3.045685279,1.158301158,3.174603175
nginx,0,2.941176471,1.834862385,1.724137931,1.52284264,1.930501931,3.174603175
publish,1.5625,2.941176471,5.504587156,6.32183908,3.045685279,3.667953668,3.174603175
solid principles,3.125,1.470588235,0.9174311927,0,1.015228426,0.5791505792,3.174603175
multithreading,0,0,0.9174311927,0,0,0.1930501931,3.174603175
restful api,1.5625,2.941176471,3.669724771,3.448275862,1.015228426,1.351351351,3.174603175
redux,1.5625,1.470588235,0,2.298850575,2.538071066,0.7722007722,3.174603175
microsoft sql server,0,0,1.834862385,1.149425287,1.015228426,2.702702703,3.174603175
middleware,0,5.882352941,1.834862385,1.149425287,0.5076142132,1.544401544,3.174603175
r,6.25,0,5.504587156,2.873563218,6.598984772,3.474903475,3.174603175
publishing,1.5625,2.941176471,5.504587156,6.32183908,3.045685279,3.667953668,3.174603175
portfolio,7.8125,5.882352941,3.669724771,5.172413793,4.060913706,2.702702703,3.174603175
hr,1.5625,4.411764706,2.752293578,4.022988506,3.045685279,2.50965251,2.380952381
graphics,12.5,1.470588235,11.00917431,3.448275862,4.060913706,5.791505792,2.380952381
qa,3.125,5.882352941,4.587155963,1.724137931,2.030456853,4.054054054,2.380952381
sales,1.5625,11.76470588,11.00917431,5.172413793,6.598984772,4.633204633,2.380952381
hana,0,0,0,1.149425287,1.015228426,0.5791505792,2.380952381
react js,1.5625,1.470588235,1.834862385,0.5747126437,2.030456853,0.7722007722,2.380952381
xamarin,1.5625,0,0,4.022988506,0.5076142132,1.158301158,2.380952381
react native,1.5625,0,2.752293578,2.873563218,2.538071066,1.544401544,2.380952381
routing,3.125,2.941176471,0.9174311927,1.724137931,3.553299492,2.316602317,2.380952381
retention,0,0,0.9174311927,0,1.52284264,0.5791505792,2.380952381
swift,4.6875,2.941176471,2.752293578,1.724137931,2.538071066,2.702702703,2.380952381
piping,6.25,4.411764706,6.422018349,3.448275862,3.045685279,2.316602317,2.380952381
statistics,1.5625,10.29411765,2.752293578,0.5747126437,2.030456853,0.9652509653,2.380952381
streaming,12.5,4.411764706,1.834862385,1.724137931,2.030456853,3.474903475,2.380952381
logistics,1.5625,1.470588235,0.9174311927,2.298850575,3.045685279,1.544401544,2.380952381
team building,0,4.411764706,1.834862385,1.724137931,2.538071066,1.737451737,2.380952381
microsoft windows,0,0,0,0,0.5076142132,0.1930501931,2.380952381
legal,1.5625,5.882352941,0,3.448275862,1.52284264,2.702702703,2.380952381
test planning,0,1.470588235,2.752293578,0,2.030456853,3.667953668,2.380952381
test plans,0,1.470588235,2.752293578,0,2.030456853,3.667953668,2.380952381
laravel,4.6875,2.941176471,5.504587156,3.448275862,6.598984772,4.826254826,2.380952381
spring mvc,1.5625,0,1.834862385,1.149425287,0,2.123552124,2.380952381
pipeline,6.25,4.411764706,6.422018349,3.448275862,3.045685279,2.316602317,2.380952381
spring boot,0,4.411764706,0.9174311927,1.724137931,0.5076142132,2.123552124,2.380952381
new ideas,3.125,2.941176471,0.9174311927,0.5747126437,2.030456853,1.158301158,2.380952381
social media,1.5625,1.470588235,0,2.298850575,0.5076142132,1.737451737,2.380952381
npm,0,1.470588235,0,1.724137931,0,0.9652509653,2.380952381
object oriented design,1.5625,2.941176471,2.752293578,0,2.538071066,1.930501931,2.380952381
shell script,3.125,0,0.9174311927,4.022988506,1.015228426,1.158301158,2.380952381
pipe,6.25,4.411764706,6.422018349,3.448275862,3.045685279,2.316602317,2.380952381
ionic,0,1.470588235,0.9174311927,1.149425287,1.52284264,2.123552124,2.380952381
sql experience,0,1.470588235,2.752293578,1.724137931,4.568527919,1.737451737,2.380952381
3d,0,0,0.9174311927,2.298850575,0.5076142132,0.1930501931,2.380952381
automotive,0,0,0.9174311927,0.5747126437,2.030456853,0.3861003861,2.380952381
ci,7.8125,5.882352941,6.422018349,4.597701149,6.091370558,3.667953668,2.380952381
business development,0,0,3.669724771,1.149425287,1.52284264,1.737451737,2.380952381
algorithm,6.25,5.882352941,3.669724771,5.172413793,1.015228426,4.054054054,2.380952381
advertising,1.5625,2.941176471,0.9174311927,5.172413793,1.015228426,0.9652509653,2.380952381
angular js,3.125,0,3.669724771,0.5747126437,2.538071066,2.702702703,2.380952381
algorithms,6.25,5.882352941,3.669724771,5.172413793,1.015228426,4.054054054,2.380952381
budgeting,3.125,4.411764706,2.752293578,7.471264368,3.045685279,3.088803089,2.380952381
adobe,10.9375,0,5.504587156,2.298850575,4.568527919,1.351351351,2.380952381
budget,3.125,4.411764706,2.752293578,7.471264368,3.045685279,3.088803089,2.380952381
data visualization,0,0,0.9174311927,1.724137931,2.030456853,1.351351351,2.380952381
etabs,0,0,0.9174311927,0,0,0,2.380952381
fintech,1.5625,5.882352941,1.834862385,1.724137931,3.553299492,2.702702703,2.380952381
acquisition,0,0,0,1.149425287,0.5076142132,0.3861003861,2.380952381
cordova,1.5625,0,0,0.5747126437,2.030456853,2.123552124,2.380952381
saml,0,0,0,0,0,0.1930501931,1.587301587
junit,0,0,0,2.298850575,3.045685279,1.930501931,1.587301587
kafka,0,0,0,0,1.52284264,0.1930501931,1.587301587
rxjs,3.125,1.470588235,0,0,0,0.3861003861,1.587301587
electronics,7.8125,2.941176471,2.752293578,3.448275862,1.015228426,2.316602317,1.587301587
client server,0,0,0.9174311927,3.448275862,1.52284264,2.123552124,1.587301587
kerberos,0,0,0,0,0,0.1930501931,1.587301587
sdks,4.6875,2.941176471,3.669724771,1.724137931,3.045685279,0.9652509653,1.587301587
jprofiler,0,0,0,0,0,0,1.587301587
schema,3.125,1.470588235,2.752293578,2.298850575,1.52284264,1.930501931,1.587301587
java 8,0,0,0.9174311927,0.5747126437,0.5076142132,0.1930501931,1.587301587
bug tracking,0,0,1.834862385,0,0,0.1930501931,1.587301587
bug fixing,0,5.882352941,4.587155963,4.022988506,3.045685279,1.351351351,1.587301587
sequence,0,0,0.9174311927,1.724137931,1.015228426,1.158301158,1.587301587
brand,4.6875,8.823529412,6.422018349,9.195402299,5.076142132,3.861003861,1.587301587
software quality,0,1.470588235,0,0,1.52284264,1.158301158,1.587301587
bash,3.125,1.470588235,0.9174311927,1.724137931,3.553299492,1.351351351,1.587301587
spring cloud,0,0,0,0.5747126437,0,0.1930501931,1.587301587
integration testing,3.125,7.352941176,2.752293578,0.5747126437,1.52284264,2.123552124,1.587301587
kotlin,4.6875,0,1.834862385,1.724137931,1.52284264,1.351351351,1.587301587
equity,3.125,5.882352941,1.834862385,3.448275862,0.5076142132,2.895752896,1.587301587
regional,1.5625,7.352941176,0.9174311927,1.149425287,1.52284264,2.316602317,1.587301587
maintenance software,0,0,0,1.149425287,1.52284264,2.123552124,1.587301587
diagram,3.125,1.470588235,1.834862385,0.5747126437,1.52284264,1.158301158,1.587301587
diagnostics,0,1.470588235,0.9174311927,0.5747126437,1.52284264,1.158301158,1.587301587
mock,9.375,1.470588235,1.834862385,2.298850575,4.060913706,2.50965251,1.587301587
design processes,1.5625,0,1.834862385,0,1.015228426,0.3861003861,1.587301587
debt,0,1.470588235,0,0,0,0.5791505792,1.587301587
data science,1.5625,2.941176471,4.587155963,1.724137931,1.52284264,0.9652509653,1.587301587
data modeling,3.125,1.470588235,0.9174311927,0,2.030456853,2.702702703,1.587301587
customer service,1.5625,2.941176471,1.834862385,2.298850575,2.030456853,2.50965251,1.587301587
mastercard,0,0,0,0,0,0.1930501931,1.587301587
payment gateway,0,1.470588235,0,0,0,0.1930501931,1.587301587
perl,3.125,1.470588235,5.504587156,6.896551724,3.553299492,3.088803089,1.587301587
powershell,1.5625,1.470588235,0,0,1.52284264,0.3861003861,1.587301587
