skill,supply,demand,Supply Difference,Demand Difference,sup,dem
Med,0.08,0.19,-0.11,0.11,29.62962963,70.37037037
Industrial Safety,0.02,0.13,-0.11,0.11,13.33333333,86.66666667
Verilog,0,0.11,-0.11,0.11,0,100
Autodesk Inventor,0.13,0.24,-0.11,0.11,35.13513514,64.86486486
Dmaic,0.04,0.15,-0.11,0.11,21.05263158,78.94736842
Minitab,0.23,0.33,-0.1,0.1,41.07142857,58.92857143
Soapui,0.21,0.3,-0.09,0.09,41.17647059,58.82352941
Zephyr,0.06,0.15,-0.09,0.09,28.57142857,71.42857143
Gas Turbines,0.02,0.11,-0.09,0.09,15.38461538,84.61538462
Jsa,0,0.09,-0.09,0.09,0,100
Process Optimization,0.28,0.37,-0.09,0.09,43.07692308,56.92307692
Reinforced Concrete,0,0.08,-0.08,0.08,0,100
Ptc Creo,0,0.08,-0.08,0.08,0,100
Autodesk Autocad,0.04,0.11,-0.07,0.07,26.66666667,73.33333333
Staad,0,0.07,-0.07,0.07,0,100
Remote Teams,0.17,0.24,-0.07,0.07,41.46341463,58.53658537
Saas,2.06,2.13,-0.07,0.07,49.1646778,50.8353222
Lending,3.29,3.35,-0.06,0.06,49.54819277,50.45180723
Rfp,0.32,0.38,-0.06,0.06,45.71428571,54.28571429
Microsoft Powershell,0,0.06,-0.06,0.06,0,100
Short Circuit,0,0.06,-0.06,0.06,0,100
Google Suite,0.23,0.28,-0.05,0.05,45.09803922,54.90196078
Web Standards,0.11,0.16,-0.05,0.05,40.74074074,59.25925926
Apple Macos,0,0.05,-0.05,0.05,0,100
Framer,0.04,0.09,-0.05,0.05,30.76923077,69.23076923
Embedded Software,0.13,0.17,-0.04,0.04,43.33333333,56.66666667
Human Centered,0.13,0.17,-0.04,0.04,43.33333333,56.66666667
Switchgear,0.06,0.1,-0.04,0.04,37.5,62.5
Pulp,0.06,0.1,-0.04,0.04,37.5,62.5
Fluid Mechanics,0.04,0.08,-0.04,0.04,33.33333333,66.66666667
Power Transmission,0.04,0.08,-0.04,0.04,33.33333333,66.66666667
Oilfield,0.04,0.08,-0.04,0.04,33.33333333,66.66666667
Erosion Control,0.04,0.08,-0.04,0.04,33.33333333,66.66666667
Mfc,0,0.04,-0.04,0.04,0,100
Altium Designer,0,0.04,-0.04,0.04,0,100
Apache Solr,0,0.04,-0.04,0.04,0,100
Ccp,0,0.04,-0.04,0.04,0,100
Well Control,0,0.04,-0.04,0.04,0,100
Wireshark,0.34,0.38,-0.04,0.04,47.22222222,52.77777778
Power Electronics,0.11,0.14,-0.03,0.03,44,56
Parallel Computing,0.04,0.07,-0.03,0.03,36.36363636,63.63636364
Protective Relays,0.02,0.05,-0.03,0.03,28.57142857,71.42857143
Petrochemical,0.23,0.26,-0.03,0.03,46.93877551,53.06122449
Api Design,0.21,0.24,-0.03,0.03,46.66666667,53.33333333
Hazard Identification,0.08,0.11,-0.03,0.03,42.10526316,57.89473684
Control Systems Design,0,0.03,-0.03,0.03,0,100
Turbomachinery,0,0.03,-0.03,0.03,0,100
Third Party Payments,0,0.03,-0.03,0.03,0,100
Gcp,0.47,0.49,-0.02,0.02,48.95833333,51.04166667
Netsuite Erp,0.02,0.04,-0.02,0.02,33.33333333,66.66666667
Apache Hive,0.02,0.04,-0.02,0.02,33.33333333,66.66666667
Deltek,0.02,0.04,-0.02,0.02,33.33333333,66.66666667
Heuristic Analysis,0.02,0.04,-0.02,0.02,33.33333333,66.66666667
Yardi,0,0.02,-0.02,0.02,0,100
Product Backlog Items,0,0.02,-0.02,0.02,0,100
Autodesk Autocad Civil 3d,0,0.02,-0.02,0.02,0,100
Scalable Infrastructure,0,0.02,-0.02,0.02,0,100
Client Invoicing,0,0.02,-0.02,0.02,0,100
Distributed Storage,0,0.02,-0.02,0.02,0,100
Zemax,0,0.02,-0.02,0.02,0,100
Creo Parametric,0,0.02,-0.02,0.02,0,100
Sap Software,0,0.02,-0.02,0.02,0,100
Projectors,0.42,0.43,-0.01,0.01,49.41176471,50.58823529
Sap Business Objects,0.06,0.07,-0.01,0.01,46.15384615,53.84615385
Llvm,0,0.01,-0.01,0.01,0,100
Modernizr,0,0.01,-0.01,0.01,0,100
Google Big Query,0,0.01,-0.01,0.01,0,100
Nebosh,0,0.01,-0.01,0.01,0,100
Learning Specialist,0,0.01,-0.01,0.01,0,100
Ipython,0.02,0.03,-0.01,0.01,40,60
Haskell,0.02,0.03,-0.01,0.01,40,60
Metro,2.06,2.07,-0.01,0.01,49.87893462,50.12106538
Looker,0.25,0.25,0,0,50,50
Jpos,0.08,0.08,0,0,50,50
Device Drivers,0.04,0.04,0,0,50,50
Optimizing Database,0.02,0.02,0,0,50,50
Credit Operations,0.02,0.02,0,0,50,50
Ab Initio,0.02,0.02,0,0,50,50
Power Protection,0.02,0.02,0,0,50,50
Lua,0.02,0.02,0,0,50,50
F#,0.02,0.02,0,0,50,50
Eta,0.02,0.02,0,0,50,50
Containerisation,0.02,0.02,0,0,50,50
Ucd,0.06,0.05,0.01,-0.01,54.54545455,45.45454545
Zookeeper,0.06,0.05,0.01,-0.01,54.54545455,45.45454545
Gitflow,0.06,0.05,0.01,-0.01,54.54545455,45.45454545
Jreport,0.02,0.01,0.01,-0.01,66.66666667,33.33333333
Bigtable,0.02,0.01,0.01,-0.01,66.66666667,33.33333333
Cocoa Touch,0.02,0.01,0.01,-0.01,66.66666667,33.33333333
Jscript,0.02,0.01,0.01,-0.01,66.66666667,33.33333333
Ibm Notes,0.04,0.03,0.01,-0.01,57.14285714,42.85714286
Cash Balancing,0.04,0.03,0.01,-0.01,57.14285714,42.85714286
Scalable Architecture,0.04,0.03,0.01,-0.01,57.14285714,42.85714286
Session Management,0.04,0.03,0.01,-0.01,57.14285714,42.85714286
System Architecture,0.81,0.8,0.01,-0.01,50.31055901,49.68944099
Product Support,0.36,0.35,0.01,-0.01,50.70422535,49.29577465
Phoenix,0.7,0.68,0.02,-0.02,50.72463768,49.27536232
Stylus,0.06,0.04,0.02,-0.02,60,40
Clearcase,0.08,0.06,0.02,-0.02,57.14285714,42.85714286
Systems Design,1.17,1.15,0.02,-0.02,50.43103448,49.56896552
Substation,0.23,0.21,0.02,-0.02,52.27272727,47.72727273
Sap Business One,0.06,0.03,0.03,-0.03,66.66666667,33.33333333
Apache Maven,0.04,0.01,0.03,-0.03,80,20
Unittest,0.04,0.01,0.03,-0.03,80,20
Jpeg,0.04,0.01,0.03,-0.03,80,20
Omnigraffle,0.11,0.07,0.04,-0.04,61.11111111,38.88888889
Scalable Systems,0.11,0.07,0.04,-0.04,61.11111111,38.88888889
Value Delivery,0.06,0.02,0.04,-0.04,75,25
Color Theory,0.08,0.04,0.04,-0.04,66.66666667,33.33333333
Sdks,0.25,0.21,0.04,-0.04,54.34782609,45.65217391
Symantec,0.55,0.51,0.04,-0.04,51.88679245,48.11320755
Puppet,0.57,0.52,0.05,-0.05,52.29357798,47.70642202
Flowcharts,0.36,0.31,0.05,-0.05,53.73134328,46.26865672
Power Systems,0.36,0.31,0.05,-0.05,53.73134328,46.26865672
Yarn,0.15,0.1,0.05,-0.05,60,40
Facebook Api,0.06,0.01,0.05,-0.05,85.71428571,14.28571429
Apache Cassandra,0.06,0.01,0.05,-0.05,85.71428571,14.28571429
Story Boards,0.06,0.01,0.05,-0.05,85.71428571,14.28571429
Otp,0.06,0.01,0.05,-0.05,85.71428571,14.28571429
Apache Http Server,0.06,0.01,0.05,-0.05,85.71428571,14.28571429
Site Reliability,0.13,0.08,0.05,-0.05,61.9047619,38.0952381
Newrelic,0.08,0.03,0.05,-0.05,72.72727273,27.27272727
Undergraduate Degree,0.76,0.71,0.05,-0.05,51.70068027,48.29931973
Continuous Delivery,0.57,0.51,0.06,-0.06,52.77777778,47.22222222
Scipy,0.23,0.17,0.06,-0.06,57.5,42.5
Multithreading,0.11,0.05,0.06,-0.06,68.75,31.25
Uxpin,0.11,0.05,0.06,-0.06,68.75,31.25
Microsoft Dynamics Gp,0.08,0.02,0.06,-0.06,80,20
Lisp,0.08,0.02,0.06,-0.06,80,20
Cash Forecasting,0.08,0.02,0.06,-0.06,80,20
Progressive Web Apps,0.08,0.02,0.06,-0.06,80,20
Customer Growth,0.08,0.02,0.06,-0.06,80,20
Syspro,0.08,0.02,0.06,-0.06,80,20
Typography,0.34,0.27,0.07,-0.07,55.73770492,44.26229508
Video Production,0.19,0.12,0.07,-0.07,61.29032258,38.70967742
Hibernate Orm,0.08,0.01,0.07,-0.07,88.88888889,11.11111111
Iso 22000,0.08,0.01,0.07,-0.07,88.88888889,11.11111111
Product Requirement Documents,0.08,0.01,0.07,-0.07,88.88888889,11.11111111
Nlp,0.28,0.21,0.07,-0.07,57.14285714,42.85714286
Amazon Redshift,0.11,0.03,0.08,-0.08,78.57142857,21.42857143
Program Design,0.38,0.3,0.08,-0.08,55.88235294,44.11764706
Edge Cases,0.17,0.09,0.08,-0.08,65.38461538,34.61538462
Landing Pages,0.32,0.23,0.09,-0.09,58.18181818,41.81818182
Resource Planning Software,0.11,0.02,0.09,-0.09,84.61538462,15.38461538
Apache Hadoop,0.11,0.02,0.09,-0.09,84.61538462,15.38461538
XMPP,0.11,0.02,0.09,-0.09,84.61538462,15.38461538
Dhtml,0.17,0.08,0.09,-0.09,68,32
User Flows,0.53,0.44,0.09,-0.09,54.63917526,45.36082474
Global Management,0.15,0.05,0.1,-0.1,75,25
Microstrategy,0.15,0.05,0.1,-0.1,75,25
Memcached,0.17,0.07,0.1,-0.1,70.83333333,29.16666667
Microsoft Dynamics Erp,0.13,0.03,0.1,-0.1,81.25,18.75
Mixpanel,0.11,0.01,0.1,-0.1,91.66666667,8.333333333
Nu,0.11,0.01,0.1,-0.1,91.66666667,8.333333333
Hcd,0.11,0.01,0.1,-0.1,91.66666667,8.333333333
Amazon S3,0.11,0.01,0.1,-0.1,91.66666667,8.333333333
Google Drive,0.21,0.1,0.11,-0.11,67.74193548,32.25806452
Electrical Wiring,0.15,0.04,0.11,-0.11,78.94736842,21.05263158
Racket,0.19,0.08,0.11,-0.11,70.37037037,29.62962963
Zend Framework,0.13,0.02,0.11,-0.11,86.66666667,13.33333333
Rig,0.17,0.06,0.11,-0.11,73.91304348,26.08695652
Responsive Websites,0.23,0.11,0.12,-0.12,67.64705882,32.35294118
Lily,0.17,0.05,0.12,-0.12,77.27272727,22.72727273
Electrical Machines,0.13,0.01,0.12,-0.12,92.85714286,7.142857143
Microsoft Outlook,0.53,0.41,0.12,-0.12,56.38297872,43.61702128
Budgeting,12.32,12.2,0.12,-0.12,50.24469821,49.75530179
Radar,0.47,0.34,0.13,-0.13,58.02469136,41.97530864
Product Planning,0.36,0.23,0.13,-0.13,61.01694915,38.98305085
Sas,1.02,0.89,0.13,-0.13,53.40314136,46.59685864
Confluence,0.87,0.74,0.13,-0.13,54.03726708,45.96273292
Functional Programming,0.23,0.1,0.13,-0.13,69.6969697,30.3030303
Microsoft Dynamics Ax,0.19,0.06,0.13,-0.13,76,24
MQTT,0.15,0.02,0.13,-0.13,88.23529412,11.76470588
Axios,0.15,0.02,0.13,-0.13,88.23529412,11.76470588
Ux Research,0.28,0.15,0.13,-0.13,65.11627907,34.88372093
Jwt,0.15,0.01,0.14,-0.14,93.75,6.25
Story Board,0.15,0.01,0.14,-0.14,93.75,6.25
Oop,0.38,0.24,0.14,-0.14,61.29032258,38.70967742
Epc,0.19,0.05,0.14,-0.14,79.16666667,20.83333333
Haproxy,0.19,0.05,0.14,-0.14,79.16666667,20.83333333
Responsive Web Design,0.36,0.21,0.15,-0.15,63.15789474,36.84210526
Soa,0.55,0.4,0.15,-0.15,57.89473684,42.10526316
Keras,0.51,0.36,0.15,-0.15,58.62068966,41.37931034
Microsoft Visio,0.28,0.13,0.15,-0.15,68.29268293,31.70731707
Sap Erp,0.23,0.08,0.15,-0.15,74.19354839,25.80645161
Mailchimp,0.21,0.05,0.16,-0.16,80.76923077,19.23076923
Microsoft Exchange Server,0.32,0.16,0.16,-0.16,66.66666667,33.33333333
Neo4j,0.23,0.07,0.16,-0.16,76.66666667,23.33333333
Web Client,0.23,0.07,0.16,-0.16,76.66666667,23.33333333
Chef,0.81,0.65,0.16,-0.16,55.47945205,44.52054795
Vue,0.79,0.63,0.16,-0.16,55.63380282,44.36619718
Clojure,0.19,0.02,0.17,-0.17,90.47619048,9.523809524
Eclipse Ide,0.19,0.02,0.17,-0.17,90.47619048,9.523809524
Distributed Systems,0.85,0.66,0.19,-0.19,56.29139073,43.70860927
Sewer,0.74,0.55,0.19,-0.19,57.36434109,42.63565891
Motion Design,0.21,0.02,0.19,-0.19,91.30434783,8.695652174
Ethnography,0.21,0.02,0.19,-0.19,91.30434783,8.695652174
Promine,0.4,0.21,0.19,-0.19,65.57377049,34.42622951
Elastic Search,0.3,0.1,0.2,-0.2,75,25
Appium,0.36,0.15,0.21,-0.21,70.58823529,29.41176471
Amazon Ec2,0.25,0.04,0.21,-0.21,86.20689655,13.79310345
Etap,0.64,0.43,0.21,-0.21,59.81308411,40.18691589
Cakephp,0.25,0.03,0.22,-0.22,89.28571429,10.71428571
Webservices,0.4,0.18,0.22,-0.22,68.96551724,31.03448276
Julia,0.28,0.06,0.22,-0.22,82.35294118,17.64705882
Js,2.59,2.36,0.23,-0.23,52.32323232,47.67676768
Google Docs,0.34,0.11,0.23,-0.23,75.55555556,24.44444444
Groovy,0.34,0.11,0.23,-0.23,75.55555556,24.44444444
Financial Technology,0.34,0.11,0.23,-0.23,75.55555556,24.44444444
Oauth2,0.28,0.05,0.23,-0.23,84.84848485,15.15151515
Ibm Websphere,0.28,0.04,0.24,-0.24,87.5,12.5
Css,4.78,4.53,0.25,-0.25,51.34264232,48.65735768
System Uptime,0.3,0.05,0.25,-0.25,85.71428571,14.28571429
Microsoft Sharepoint,0.57,0.31,0.26,-0.26,64.77272727,35.22727273
Erlang,0.28,0.02,0.26,-0.26,93.33333333,6.666666667
Vanilla Js,0.28,0.02,0.26,-0.26,93.33333333,6.666666667
Software Architecture,0.79,0.52,0.27,-0.27,60.30534351,39.69465649
Microsoft Visual Studio,0.42,0.15,0.27,-0.27,73.68421053,26.31578947
Web Hosting,0.38,0.11,0.27,-0.27,77.55102041,22.44897959
Program Director,0.42,0.14,0.28,-0.28,75,25
Predictive Analysis,0.3,0.02,0.28,-0.28,93.75,6.25
Xero,0.38,0.1,0.28,-0.28,79.16666667,20.83333333
Gulp,0.59,0.3,0.29,-0.29,66.29213483,33.70786517
Elixir,0.3,0.01,0.29,-0.29,96.77419355,3.225806452
User Testing,0.79,0.5,0.29,-0.29,61.24031008,38.75968992
Uml,0.53,0.24,0.29,-0.29,68.83116883,31.16883117
Microsoft Project,0.81,0.51,0.3,-0.3,61.36363636,38.63636364
Subversion,0.51,0.21,0.3,-0.3,70.83333333,29.16666667
Natural Language Processing,0.64,0.33,0.31,-0.31,65.97938144,34.02061856
Celery,0.38,0.07,0.31,-0.31,84.44444444,15.55555556
RFID,0.38,0.07,0.31,-0.31,84.44444444,15.55555556
Aggregation,1.02,0.71,0.31,-0.31,58.95953757,41.04046243
Copywriting,0.4,0.09,0.31,-0.31,81.63265306,18.36734694
Shell Script,1.64,1.32,0.32,-0.32,55.40540541,44.59459459
Axure,0.57,0.24,0.33,-0.33,70.37037037,29.62962963
It Sales,0.42,0.09,0.33,-0.33,82.35294118,17.64705882
Perl,5.97,5.62,0.35,-0.35,51.50992235,48.49007765
Jupyter,0.45,0.1,0.35,-0.35,81.81818182,18.18181818
Swot Analysis,0.36,0.01,0.35,-0.35,97.2972973,2.702702703
Bug Tracking,0.81,0.46,0.35,-0.35,63.77952756,36.22047244
Data Manipulation,0.7,0.33,0.37,-0.37,67.96116505,32.03883495
Kali Linux,0.42,0.05,0.37,-0.37,89.36170213,10.63829787
Visual Design,1.23,0.85,0.38,-0.38,59.13461538,40.86538462
Objective C,0.64,0.26,0.38,-0.38,71.11111111,28.88888889
Sqlalchemy,0.4,0.02,0.38,-0.38,95.23809524,4.761904762
Cto,0.83,0.44,0.39,-0.39,65.35433071,34.64566929
Mvvm,0.47,0.08,0.39,-0.39,85.45454545,14.54545455
Apache Kafka,0.42,0.02,0.4,-0.4,95.45454545,4.545454545
Event Planning,0.49,0.08,0.41,-0.41,85.96491228,14.03508772
Dart,0.47,0.06,0.41,-0.41,88.67924528,11.32075472
Quantitative Analysis,0.68,0.25,0.43,-0.43,73.11827957,26.88172043
Product Vision,0.64,0.21,0.43,-0.43,75.29411765,24.70588235
Mariadb,0.53,0.1,0.43,-0.43,84.12698413,15.87301587
Webpack,0.89,0.45,0.44,-0.44,66.41791045,33.58208955
Stripe,0.55,0.1,0.45,-0.45,84.61538462,15.38461538
Product Lead,0.62,0.14,0.48,-0.48,81.57894737,18.42105263
Xhtml,0.59,0.11,0.48,-0.48,84.28571429,15.71428571
Google Adwords,0.53,0.05,0.48,-0.48,91.37931034,8.620689655
Unit Testing,2.08,1.59,0.49,-0.49,56.67574932,43.32425068
Erp Software,0.74,0.25,0.49,-0.49,74.74747475,25.25252525
Cba,0.51,0.02,0.49,-0.49,96.22641509,3.773584906
Terra,1.3,0.8,0.5,-0.5,61.9047619,38.0952381
Banners,0.74,0.24,0.5,-0.5,75.51020408,24.48979592
Nagios,0.74,0.24,0.5,-0.5,75.51020408,24.48979592
IoT,1.34,0.84,0.5,-0.5,61.46788991,38.53211009
Service Design,0.64,0.13,0.51,-0.51,83.11688312,16.88311688
